*
*
*
*
*
2022/08/18 20:15:03 174					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:15:03 225					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					TRACE  							Revisara el resultSet
2022/08/18 20:15:03 799					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de columnas : 4

2022/08/18 20:15:03 803					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Columna : name

2022/08/18 20:15:03 807					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de metodos set: 6

2022/08/18 20:15:03 811					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo set: name   Name

2022/08/18 20:15:03 815					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Cantidad de metodos get: 6

2022/08/18 20:15:03 818					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo get: name   Name

2022/08/18 20:15:03 822					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Columna : id

2022/08/18 20:15:03 826					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de metodos set: 6

2022/08/18 20:15:03 830					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo set: id   Id

2022/08/18 20:15:03 833					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Cantidad de metodos get: 6

2022/08/18 20:15:03 837					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo get: id   Id

2022/08/18 20:15:03 841					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Columna : ismayor

2022/08/18 20:15:03 846					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de metodos set: 6

2022/08/18 20:15:03 849					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo set: ismayor   IsMayor

2022/08/18 20:15:03 854					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Cantidad de metodos get: 6

2022/08/18 20:15:03 858					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo get: ismayor   IsMayor

2022/08/18 20:15:03 861					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Columna : apellido

2022/08/18 20:15:03 865					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de metodos set: 6

2022/08/18 20:15:03 868					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo set: apellido   Apellido

2022/08/18 20:15:03 877					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					INFO							Obtuvo un resultado de BD's, procedera a llenar el modelo

2022/08/18 20:15:03 874					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo get: apellido   Apellido

2022/08/18 20:15:03 871					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Cantidad de metodos get: 6

2022/08/18 20:15:03 891					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Columna : name

2022/08/18 20:15:03 888					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de columnas : 4

2022/08/18 20:15:03 903					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Cantidad de metodos get: 6

2022/08/18 20:15:03 894					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de metodos set: 6

2022/08/18 20:15:03 907					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo get: name   Name

2022/08/18 20:15:03 910					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Columna : id

2022/08/18 20:15:03 913					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de metodos set: 6

2022/08/18 20:15:03 922					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo get: id   Id

2022/08/18 20:15:03 925					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Columna : ismayor

2022/08/18 20:15:03 928					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de metodos set: 6

2022/08/18 20:15:03 934					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Cantidad de metodos get: 6

2022/08/18 20:15:03 940					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Columna : apellido

2022/08/18 20:15:03 937					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo get: ismayor   IsMayor

2022/08/18 20:15:03 943					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					DEBUG  							Cantidad de metodos set: 6

2022/08/18 20:15:03 949					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Cantidad de metodos get: 6

2022/08/18 20:15:03 952					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo get: apellido   Apellido

2022/08/18 20:15:03 967					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							3   Jose   Bran   true

2022/08/18 20:15:03 916					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo set: id   Id

2022/08/18 20:15:03 958					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							2   Jose   Bran   true

2022/08/18 20:15:03 899					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo set: name   Name

2022/08/18 20:15:03 883					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							obtuvo los metodos set

2022/08/18 20:15:03 880					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Inicializa el array list de los metodos set

2022/08/18 20:15:03 955					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:15:03 946					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo set: apellido   Apellido

2022/08/18 20:15:03 931					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Nombre de la columna, nombre del metodo set: ismayor   IsMayor

2022/08/18 20:15:03 919					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					TRACE  							Cantidad de metodos get: 6

2022/08/18 20:15:03 974					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							4   Jose   Bran   true
*
*
*
*
*
2022/08/18 20:16:19 300					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:16:19 356					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 20:16:19 360					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:16:19 430					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:16:19 442					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:16:19 442					josec  							io.github.josecarlosbran.JBSqlLite.Search.Get  		lambda$getAll$3						INFO							SELECT * FROM test WHERE  (name = 'Jose' ) AND  (isMayor = true );

2022/08/18 20:16:19 463					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 20:16:19 503					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:16:19 472					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					INFO							Obtuvo un resultado de BD's, procedera a llenar el modelo

2022/08/18 20:16:19 466					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:16:19 512					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							3   Jose   Bran   true

2022/08/18 20:16:19 507					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							2   Jose   Bran   true

2022/08/18 20:16:19 515					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							4   Jose   Bran   true
*
*
*
*
*
2022/08/18 20:16:38 393					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Excepción disparada al obtener la conexión a la BD's proporcionada: org.postgresql.util.PSQLException: Ha ocorrido un error mientras se establecía la conexión SSL.

2022/08/18 20:16:38 399					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Tipo de Excepción : class org.postgresql.util.PSQLException

2022/08/18 20:16:38 402					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Causa de la Excepción : null

2022/08/18 20:16:38 408					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Trace de la Excepción : [Ljava.lang.StackTraceElement;@3a6f8ae2

2022/08/18 20:16:38 405					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Mensaje de la Excepción : Ha ocorrido un error mientras se establecía la conexión SSL.

2022/08/18 20:16:38 411					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Excepción disparada en el método que verifica si existe la tabla correspondiente al modelo: java.lang.NullPointerException: Cannot invoke "java.sql.Connection.getMetaData()" because "connect" is null

2022/08/18 20:16:38 414					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Tipo de Excepción : class java.lang.NullPointerException

2022/08/18 20:16:38 417					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Causa de la Excepción : null

2022/08/18 20:16:38 420					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Mensaje de la Excepción : Cannot invoke "java.sql.Connection.getMetaData()" because "connect" is null

2022/08/18 20:16:38 423					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Trace de la Excepción : [Ljava.lang.StackTraceElement;@1ba87765

2022/08/18 20:16:38 430					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Excepción disparada al obtener la conexión a la BD's proporcionada: org.postgresql.util.PSQLException: Ha ocorrido un error mientras se establecía la conexión SSL.

2022/08/18 20:16:38 433					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Tipo de Excepción : class org.postgresql.util.PSQLException

2022/08/18 20:16:38 436					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Causa de la Excepción : null

2022/08/18 20:16:38 439					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Mensaje de la Excepción : Ha ocorrido un error mientras se establecía la conexión SSL.

2022/08/18 20:16:38 442					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Trace de la Excepción : [Ljava.lang.StackTraceElement;@306a30c7

2022/08/18 20:16:38 446					josec  							io.github.josecarlosbran.JBSqlLite.Search.Get  		lambda$getAll$3						WARNING							Tabla correspondiente al modelo no existe en BD's por esa razón no se pudorecuperar el Registro
*
*
*
*
*
2022/08/18 20:18:44 700					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Excepción disparada al obtener la conexión a la BD's proporcionada: org.postgresql.util.PSQLException: Ha ocorrido un error mientras se establecía la conexión SSL.

2022/08/18 20:18:44 706					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Tipo de Excepción : class org.postgresql.util.PSQLException

2022/08/18 20:18:44 709					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Causa de la Excepción : null

2022/08/18 20:18:44 714					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Mensaje de la Excepción : Ha ocorrido un error mientras se establecía la conexión SSL.

2022/08/18 20:18:44 717					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Trace de la Excepción : [Ljava.lang.StackTraceElement;@744495fa

2022/08/18 20:18:44 720					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Excepción disparada en el método que verifica si existe la tabla correspondiente al modelo: java.lang.NullPointerException: Cannot invoke "java.sql.Connection.getMetaData()" because "connect" is null

2022/08/18 20:18:44 723					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Tipo de Excepción : class java.lang.NullPointerException

2022/08/18 20:18:44 726					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Causa de la Excepción : null

2022/08/18 20:18:44 729					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Mensaje de la Excepción : Cannot invoke "java.sql.Connection.getMetaData()" because "connect" is null

2022/08/18 20:18:44 732					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					FATAL  							Trace de la Excepción : [Ljava.lang.StackTraceElement;@49057476

2022/08/18 20:18:44 738					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Excepción disparada al obtener la conexión a la BD's proporcionada: org.postgresql.util.PSQLException: Ha ocorrido un error mientras se establecía la conexión SSL.

2022/08/18 20:18:44 741					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Tipo de Excepción : class org.postgresql.util.PSQLException

2022/08/18 20:18:44 745					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Causa de la Excepción : null

2022/08/18 20:18:44 749					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Mensaje de la Excepción : Ha ocorrido un error mientras se establecía la conexión SSL.

2022/08/18 20:18:44 752					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						FATAL  							Trace de la Excepción : [Ljava.lang.StackTraceElement;@306a30c7

2022/08/18 20:18:44 757					josec  							io.github.josecarlosbran.JBSqlLite.Search.Get  		lambda$getAll$3						WARNING							Tabla correspondiente al modelo no existe en BD's por esa razón no se pudorecuperar el Registro
*
*
*
*
*
2022/08/18 20:26:40 679					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:26:40 741					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 20:26:40 745					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:26:40 817					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:26:40 851					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:26:40 852					josec  							io.github.josecarlosbran.JBSqlLite.Search.Get  		lambda$getAll$3						INFO							SELECT * FROM test WHERE  (name = 'Jose' ) AND  (isMayor = true );

2022/08/18 20:26:40 873					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 20:26:40 942					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							2   Jose   Bran   true

2022/08/18 20:26:40 938					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:26:40 920					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					INFO							Obtuvo un resultado de BD's, procedera a llenar el modelo

2022/08/18 20:26:40 885					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					INFO							Obtuvo un resultado de BD's, procedera a llenar el modelo

2022/08/18 20:26:40 876					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:26:40 908					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					INFO							Obtuvo un resultado de BD's, procedera a llenar el modelo

2022/08/18 20:26:40 952					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							3   Jose   Bran   true

2022/08/18 20:26:40 985					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							4   Jose   Bran   true
*
*
*
*
*
2022/08/18 20:27:40 831					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:27:40 889					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 20:27:40 893					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:27:40 965					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:27:40 989					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 20:27:40 992					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:27:41 020					josec  							io.github.josecarlosbran.JBSqlLite.Search.Get  		lambda$getAll$3						INFO							SELECT * FROM test WHERE  (name = 'Jose' ) AND  (isMayor = true );

2022/08/18 20:27:41 031					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					INFO							Obtuvo un resultado de BD's, procedera a llenar el modelo

2022/08/18 20:27:41 053					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		procesarResultSet  					INFO							Obtuvo un resultado de BD's, procedera a llenar el modelo

2022/08/18 20:27:41 082					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 20:27:41 085					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							2   Jose   Bran   true

2022/08/18 20:27:41 088					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							3   Jose   Bran   true

2022/08/18 20:27:41 092					josec  							io.github.josecarlosbran.JBSqlLite.Pruebas.Principal		lambda$PostgreSQL$0					INFO							4   Jose   Bran   true
*
*
*
*
*
2022/08/18 21:20:49 771					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:20:49 876					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, No existe en BD's

2022/08/18 21:20:49 884					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

